id,xcoord,ycoord,,id,xcoord,ycoord,,id,xcoord,ycoord
3,102.39126,2.46966,,2,102.3924,2.46914,,1,102.39259,2.46973
3,102.39133,2.46967,,2,102.39237,2.46907,,1,102.39263,2.46967
3,102.39103,2.4702,,2,102.39233,2.46914,,1,102.39271,2.46967
3,102.39095,2.4702,,2,102.3923,2.46907,,1,102.39278,2.46967
3,102.39099,2.47026,,2,102.39226,2.46901,,1,102.39286,2.46967
3,102.39091,2.47026,,2,102.39222,2.46907,,1,102.3929,2.4696
3,102.39084,2.47025,,2,102.39225,2.46914,,1,102.39282,2.4696
3,102.39088,2.47019,,2,102.39218,2.46914,,1,102.39275,2.4696
3,102.3908,2.4702,,2,102.39236,2.46921,,1,102.39267,2.4696
3,102.39084,2.47013,,2,102.39229,2.4692,,1,102.39271,2.46953
3,102.39091,2.47013,,2,102.39222,2.4692,,1,102.39279,2.46953
3,102.39099,2.47013,,2,102.39214,2.4692,,1,102.39286,2.46953
3,102.39107,2.47013,,2,102.3921,2.46927,,1,102.39294,2.46953
3,102.3911,2.47006,,2,102.39226,2.46927,,1,102.39298,2.46947
3,102.39103,2.47006,,2,102.39233,2.46927,,1,102.3929,2.46947
3,102.39095,2.47006,,2,102.39218,2.46927,,1,102.39283,2.46947
3,102.39088,2.47007,,2,102.39229,2.46934,,1,102.39279,2.4694
3,102.39092,2.47,,2,102.39222,2.46934,,1,102.39286,2.4694
3,102.39099,2.47,,2,102.39214,2.46934,,1,102.39294,2.4694
3,102.39106,2.47,,2,102.39206,2.46934,,1,102.3929,2.46973
3,102.39114,2.47,,2,102.39202,2.4694,,1,102.39298,2.46973
3,102.39118,2.46993,,2,102.39218,2.4694,,1,102.39294,2.46966
3,102.3911,2.46993,,2,102.3921,2.4694,,1,102.39301,2.46966
3,102.39103,2.46993,,2,102.39225,2.4694,,1,102.39305,2.4696
3,102.39095,2.46993,,2,102.39221,2.46947,,1,102.39298,2.4696
3,102.39084,2.46986,,2,102.39214,2.46947,,1,102.39309,2.46953
3,102.3908,2.46993,,2,102.39206,2.46947,,1,102.39302,2.46953
3,102.39088,2.46993,,2,102.39199,2.46947,,1,102.39306,2.46947
3,102.39084,2.46999,,2,102.39172,2.469,,1,102.39313,2.46947
3,102.39076,2.47,,2,102.39168,2.46907,,1,102.39297,2.46978
3,102.3908,2.47006,,,,,,1,102.3929,2.46979
3,102.39076,2.47013,,,,,,1,102.39284,2.4698
3,102.39072,2.47006,,,,,,1,102.39276,2.46981
3,102.39096,2.46967,,,,,,1,102.39269,2.46983
3,102.39103,2.46967,,,,,,1,102.39258,2.46986
3,102.39099,2.46973,,,,,,,,
3,102.39092,2.46973,,,,,,,,
3,102.39088,2.4698,,,,,,,,
3,102.39095,2.4698,,,,,,,,
3,102.39092,2.46986,,,,,,,,
3,102.3912,2.47031,,,,,,,,
3,102.39116,2.47034,,,,,,,,
3,102.3911,2.4704,,,,,,,,
3,102.39095,2.47033,,,,,,,,
